mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,band_0_80_mean,band_0_80_std,band_80_200_mean,band_80_200_std,band_200_800_mean,band_200_800_std,label
-53.111515,136.22418,-28.407232,6.5258946,-14.822395,23.877916,-6.581922,18.523327,-8.023839,2.1376014,-7.7181015,2.010396,-5.381769,15.493567,13.101443,5.856117,5.624061,6.285813,4.8978953,5.560885,5.0824003,3.54307,3.5809147,4.5239124,2.6636305,3.842124,61.190876,116.81037,2.7852151,1.1607754,3.6362422,2.3897946,0
-1131.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-123.13246,107.38278,-23.293495,12.46234,14.580781,37.935444,-15.039285,12.821073,-12.799035,18.389744,5.3232975,8.886203,-10.123054,22.049168,12.072729,13.972201,7.6930876,8.641524,9.045991,8.629471,6.9474473,5.480779,6.604739,5.300425,5.684684,5.5225964,44.82049,86.55516,2.2805164,1.9759984,1.3569046,0.9547711,2
-86.718056,117.28596,-17.791409,23.418722,1.7181715,34.890923,-9.660715,13.9018545,-5.0173626,17.420729,-0.02238585,13.261837,-7.825102,23.723133,13.273674,19.871607,8.222005,8.865935,11.502195,4.3926625,6.7485795,5.6547704,6.208919,6.0911717,5.1975837,8.481198,68.10976,126.91109,1.36232,0.705437,2.0923064,2.5163414,2
-77.603485,124.70144,-47.135815,-10.757402,2.704744,32.150146,2.8115695,29.819212,-19.024267,2.9001172,-7.9301004,7.9173985,3.945082,18.379217,9.984307,8.521457,9.456217,7.844522,5.8765044,6.5236254,9.014281,6.639108,5.5195446,5.4498944,2.872324,5.188636,32.89775,62.069134,4.2174296,2.5359092,3.2231495,3.36488,2
-108.83391,113.344475,-23.696653,22.499657,19.053778,26.878618,-16.473053,13.889149,-6.1873617,10.721927,2.5162697,9.15912,-1.7498645,19.548153,9.567108,13.723058,9.171774,8.043138,7.959901,5.6087513,7.364773,5.7585144,5.5365505,4.3949456,7.3385444,5.2440305,42.20233,81.54117,3.186232,1.6284101,1.3571479,1.375448,2
-122.99757,112.11558,-24.927397,13.317515,3.644087,32.66115,-13.376767,9.151928,-9.480867,14.459553,-1.8773755,9.326975,-11.266367,14.208696,6.702446,13.619048,7.0118623,8.058672,8.609414,7.461768,7.761072,5.9951825,8.486439,6.6251397,5.593213,6.235816,43.810425,82.67902,1.7964967,1.7831281,0.98221236,0.49297208,2
-86.58122,115.7805,-19.657722,11.087182,12.117543,40.6515,-11.251988,21.659563,-13.44678,17.863882,-4.88043,7.791902,0.9124345,15.922189,8.560767,9.298624,6.1064157,4.6545844,6.3128414,6.073349,7.112147,7.084867,3.6114433,4.209185,3.568696,3.358767,58.180878,109.1658,3.780134,2.7285473,1.8923377,1.4009567,2
-68.20375,113.370094,-34.194145,9.61348,15.486512,42.74366,-12.33484,20.587753,-12.44728,16.086233,-1.6224703,9.050879,-5.270307,10.945552,8.031758,8.639513,4.9201436,6.2879696,5.5580554,5.503487,5.230138,4.5968356,4.4190183,4.1820073,5.332933,4.5533423,55.35319,104.59646,4.45391,2.7956722,1.6762244,1.3603704,2
-77.20711,122.62999,-48.331474,-10.125371,-0.2086729,33.63963,5.312293,26.44504,-16.991575,1.345879,-5.484142,6.2670393,4.611782,18.671606,8.7951355,8.700431,8.958422,5.1418266,6.771831,6.926844,8.040302,4.7623243,5.744734,4.900429,5.385119,5.5940948,33.001575,62.959866,3.0142167,2.5670936,2.9956,3.1204188,2
-92.84799,111.01529,-16.490818,26.48865,17.729351,22.47716,-20.661352,14.549521,-10.870702,14.667923,1.6523038,6.1281204,-3.358863,22.368176,8.6668215,13.4732685,7.884458,10.712633,6.9292564,7.4057426,9.449467,7.7420907,6.2059197,4.7168207,6.65817,5.139851,51.04075,97.38539,6.981163,3.8987453,2.7761784,1.9015274,2
-138.5812,100.435234,-26.010626,21.091753,16.99555,25.353664,-16.401125,13.466441,-11.250057,13.184096,-2.465173,9.883393,-5.8954144,22.78227,9.780833,16.148947,10.830399,9.705877,8.493527,7.057894,5.968418,6.466393,5.3824306,4.798585,6.339342,5.682525,29.260422,55.265972,1.9944812,1.3109044,0.7023398,0.3877248,2
-76.79688,109.817345,-50.576412,7.9593363,11.434399,34.00554,-8.890894,17.574858,-11.6513195,8.6698675,-6.946786,9.711455,-4.3248386,21.918135,10.405814,12.823547,9.729148,8.574039,5.9763007,8.119576,9.295757,7.4611106,4.449898,6.030383,5.9005604,4.791325,33.307854,63.595917,2.5527973,3.8235028,1.2727572,0.9943694,2
-110.60182,107.4769,-44.83022,3.1334984,20.985418,43.360405,-13.957947,29.139706,-13.698393,15.601535,-3.0578809,11.602448,-1.9178385,35.82932,13.204879,22.842632,9.273288,6.914136,6.058944,5.420092,8.936467,4.6417418,3.5650835,3.6300304,5.2761574,3.0038826,27.359446,51.049843,2.6706135,1.9369181,1.6366163,1.5870234,2
-96.46599,101.26975,-21.149454,19.342901,17.174658,26.349737,-11.138842,14.427483,-10.100013,17.770514,-3.174147,8.732473,-7.367107,27.228197,17.965658,17.879883,11.086212,9.136198,6.905219,7.5358267,6.698623,6.465354,5.790929,6.919439,4.087049,6.0190043,43.073692,82.00945,6.194288,3.7096894,1.1465834,1.0282077,2
-74.49913,121.99838,-51.32636,-2.0889082,11.433446,33.036625,-1.2845194,12.50978,-10.230216,5.5880904,-4.5488553,6.766058,-3.0553973,25.44558,11.473202,14.961528,10.693494,6.5722113,5.0978823,6.1385994,6.544534,5.4524727,5.563354,4.361828,3.8119118,3.9017575,30.943426,59.897305,3.5355732,3.8424299,1.6519865,1.3347023,2
-73.044395,111.03943,-31.752693,12.73421,16.188345,38.590725,-10.965753,20.256962,-11.322801,17.885754,-3.9527097,8.730082,-4.6161475,10.560533,5.2086315,8.779625,5.781893,5.1720862,4.9921613,6.1695995,5.9803033,4.856334,3.6263855,4.9126835,2.92587,4.9594746,52.198658,99.14283,5.9323125,4.7416706,1.7150363,1.1269438,2
-84.282585,114.73564,-36.532845,11.345485,7.2401333,42.057655,-9.87814,16.55755,-12.384519,10.028775,-0.9009404,9.66736,-5.5200176,24.379614,8.397905,13.438432,8.924719,6.752196,7.1009583,5.988208,5.7170086,6.439724,4.3633914,3.76427,4.630876,5.685795,46.016598,84.44099,5.5322185,0.79481566,1.4437594,1.1896653,2
-84.11573,125.23987,-54.85054,-8.586618,6.344894,27.665648,10.741513,29.376719,-13.151711,-1.1275649,-8.5139885,3.7332282,7.864224,25.078629,7.7349505,14.960755,9.81304,5.7423944,4.0135813,5.724941,8.345779,6.108924,5.351251,5.7829356,5.2971673,5.739068,29.61976,55.024334,2.8261487,1.9717968,2.3421998,2.095223,2
-100.41081,115.359665,-21.924496,12.811687,9.849529,31.07933,-15.957197,10.242207,-12.621984,13.029616,-1.2947539,8.729296,-8.027307,12.550556,7.788423,10.042967,9.558388,9.594965,6.294102,6.495709,6.487692,5.7292023,5.4871387,4.3989606,5.0496244,6.7717557,60.831024,113.15071,2.4964092,1.1659945,1.2471637,1.0432259,2
